date,temperature
24-02-08-22-26-19,18
24-02-08-22-26-25,19
24-02-08-22-26-30,19
24-02-08-22-26-36,19
24-02-08-22-26-41,20
24-02-08-22-26-47,18
24-02-08-22-26-52,18
24-02-08-22-26-58,18
24-02-08-22-27-03,18
24-02-08-22-27-09,18
24-02-08-22-27-14,18
24-02-08-22-27-20,19
24-02-08-22-27-25,18
24-02-08-22-27-31,19
24-02-08-22-27-36,20
24-02-08-22-27-42,18
24-02-08-22-27-47,18
24-02-08-22-27-53,19
24-02-08-22-27-58,19
24-02-08-22-28-04,20
24-02-08-22-28-09,18
24-02-08-22-28-15,18
24-02-08-22-28-20,19
24-02-08-22-28-26,18
24-02-08-22-28-31,18
24-02-08-22-28-37,19
24-02-08-22-28-42,18
24-02-08-22-28-48,18
24-02-08-22-28-54,18
24-02-08-22-28-59,18
24-02-08-22-29-05,18
24-02-08-22-29-10,18
24-02-08-22-29-16,18
24-02-08-22-29-21,19
24-02-08-22-29-27,18
24-02-08-22-29-32,18
24-02-08-22-29-38,19
24-02-08-22-29-43,20
24-02-08-22-29-49,18
24-02-08-22-29-54,20
24-02-08-22-30-00,20
24-02-08-22-30-05,19
24-02-08-22-30-11,18
24-02-08-22-30-16,19
24-02-08-22-30-22,18
24-02-08-22-30-27,18
24-02-08-22-30-33,18
24-02-08-22-30-38,20
24-02-08-22-30-44,18
24-02-08-22-30-50,18
24-02-08-22-30-55,18
24-02-08-22-31-01,18
24-02-08-22-31-06,18
24-02-08-22-31-12,18
24-02-08-22-31-17,19
24-02-08-22-31-23,18
24-02-08-22-31-28,18
24-02-08-22-31-34,20
24-02-08-22-31-39,18
24-02-08-22-31-45,19
24-02-08-22-31-50,18
24-02-08-22-31-56,19
24-02-08-22-32-01,19
24-02-08-22-32-07,18
24-02-08-22-32-12,20
24-02-08-22-32-18,19
24-02-08-22-32-23,18
24-02-08-22-32-29,19
24-02-08-22-32-34,18
24-02-08-22-32-40,18
24-02-08-22-32-45,20
24-02-08-22-32-51,18
24-02-08-22-32-56,19
24-02-08-22-33-02,18
24-02-08-22-33-07,18
24-02-08-22-33-13,18
24-02-08-22-33-18,18
24-02-08-22-33-24,18
24-02-08-22-33-29,20
24-02-08-22-33-35,19
24-02-08-22-33-40,18
24-02-08-22-33-46,19
24-02-08-22-33-51,20
24-02-08-22-33-57,19
24-02-08-22-34-02,18
24-02-08-22-34-08,18
24-02-08-22-34-13,18
24-02-08-22-34-19,19
24-02-08-22-34-24,18
24-02-08-22-34-30,19
24-02-08-22-34-36,19
24-02-08-22-34-43,18
24-02-08-22-34-49,18
24-02-08-22-34-55,18
24-02-08-22-35-01,18
24-02-08-22-35-07,19
24-02-08-22-35-13,19
24-02-08-22-35-19,19
24-02-08-22-35-25,18
24-02-08-22-35-31,19
24-02-08-22-35-37,19
24-02-08-22-35-43,19
24-02-08-22-35-49,19
24-02-08-22-35-55,18
24-02-08-22-36-01,18
24-02-08-22-36-07,18
24-02-08-22-36-13,19
24-02-08-22-36-19,18
24-02-08-22-36-25,18
24-02-08-22-36-31,18
24-02-08-22-36-37,18
24-02-08-22-36-44,18
24-02-08-22-36-50,18
24-02-08-22-36-56,18
24-02-08-22-37-02,18
24-02-08-22-37-08,19
24-02-08-22-37-14,18
24-02-08-22-37-20,19
24-02-08-22-37-26,18
24-02-08-22-37-32,18
24-02-08-22-37-38,18
24-02-08-22-37-44,18
24-02-08-22-37-50,19
24-02-08-22-37-56,19
24-02-08-22-38-02,19
24-02-08-22-38-09,18
24-02-08-22-38-16,18
24-02-08-22-38-22,18
24-02-08-22-38-28,18
24-02-08-22-38-34,18
24-02-08-22-38-40,19
24-02-08-22-38-46,19
24-02-08-22-38-52,18
24-02-08-22-38-58,18
24-02-08-22-39-04,19
24-02-08-22-39-11,18
24-02-08-22-39-17,18
24-02-08-22-39-23,18
24-02-08-22-39-29,18
